SpriteSheet	SpriteName	English Naomi ver	EN Community Translation Ver	Zh-Hans	Zh-Hant	de	es	fr	hu	ja	ko	ru	pt-br	uk	it	th	tr	sv	sk
CoffeeBean_5	(Eye1_Sparkling)	Sparkling Emote Eye 1 Sparkle	Eye Sparkling 1	眼睛 星星 1	眼睛 星星 1														
CoffeeBean_7	(SideHairB2_Color)	Hair Side 19 Colour	Hair Side 19	头发 侧面 19	頭髮 側面 19														
CoffeeBean_7	(SideHairB2_Gradient)	Hair Side 20 Colour	Hair Side 20	头发 侧面 20	頭髮 側面 20														
CoffeeBean_4	(SideHairA1_Outline)	Hair Side 1 + 2 Outline	Hair Side Outline 1 + 2	头发 侧面 轮廓 1 + 2	頭髮 側面 輪廓 1 + 2														
CoffeeBean_7	(EarringA3_Color)	Earring 3 Colour	Earring 3	耳环 3	耳環 3														
CoffeeBean_7	(EarringA4_Color)	Earring 4 Colour	Earring 4	耳环 4	耳環 4														
CoffeeBean_6	(TailF_Outline)	Tail 15 + 16 + 17 + 18 + 24 + 25 Outline	Tail Outline 15 + 16 + 17 + 18 + 24 + 25	尾巴 轮廓 15 + 16 + 17 + 18 + 24 + 25	尾巴 輪廓 15 + 16 + 17 + 18 + 24 + 25														
CoffeeBean_10	(Halo2_Outline)	Halo 2 Outline	Halo Outline 2	光环 轮廓 2	光環 輪廓 2														
CoffeeBean_8	(HairBang4_Side_Outline)	Hair Bang 7 + 8 Outline	Hair Bang Outline 7 + 8	头发 刘海 轮廓 7 + 8	頭髮 瀏海 輪廓 7 + 8														
CoffeeBean_11	(TailD1_Outline)	Tail 11 Outline	Tail Outline 11	尾巴 轮廓 11	尾巴 輪廓 11														
CoffeeBean_10	(Pigtail_A8_Outline)	Hair Pigtail 15 + 16 Outline	Hair Pigtail Outline 15 + 16	头发 马尾 轮廓 15 + 16	頭髮 馬尾 輪廓 15 + 16														
CoffeeBean_10	(HairBang4_Middle_Outline)	Hair Bang 4 Mid Outline	Hair Bang >< Outline 4	头发 刘海 >< 轮廓 4	頭髮 瀏海 >< 輪廓 4														
CoffeeBean_6	(SideHairB2_Outline)	Hair Side 19 + 20 Outline	Hair Side Outline 19 + 20	头发 侧面 轮廓 19 + 20	頭髮 側面 輪廓 19 + 20														
CoffeeBean_6	(ShakeLine2)	Scared Emote Shake Line 2	Scared 2	害怕 2	害怕 2														
CoffeeBean_5	(EarringB2_Color)	Earring 7 Colour	Earring 7	耳环 7	耳環 7														
CoffeeBean_3	(TailA2_Color)	Tail 2 Colour	Tail 2	尾巴 2	尾巴 2														
CoffeeBean_3	(TailF_Color)	Tail 15 + 16 + 17 + 18 + 24 + 25 Colour	Tail 15 + 16 + 17 + 18 + 24 + 25	尾巴 15 + 16 + 17 + 18 + 24 + 25	尾巴 15 + 16 + 17 + 18 + 24 + 25														
CoffeeBean_6	(SideHairB6_Color)	Hair Side 27 Colour	Hair Side 27	头发 侧面 27	頭髮 側面 27														
CoffeeBean_12	(Controller)	Game Emote Controller	Controller	手柄	手柄														
CoffeeBean_11	(HairBang3_Middle_Gradient)	Hair Bang 6 Mid Colour	Hair Bang >< 6	头发 刘海 >< 6	頭髮 瀏海 >< 6														
CoffeeBean_11	(HairBang3_Middle_Color)	Hair Bang 5 Mid Colour	Hair Bang >< 5	头发 刘海 >< 5	頭髮 瀏海 >< 5														
CoffeeBean_9	(Face_Outline)	Face Outline																	
CoffeeBean_6	(Horn4_Color)	Horn 4 Colour	Horn 4	角 4	角 4														
CoffeeBean_7	(HatD1_Color)	Hat 8 Colour	Hat 8	帽子 8	帽子 8														
CoffeeBean_5	(PonytailA1_Gradient)	Ponytail 2 Colour	Hair Ponytail 2	头发 单马尾 2	頭髮馬尾辮 2														
CoffeeBean_6	(SideHairB4_Outline)	Hair Side 23 + 24 Outline	Hair Side Outline 23 + 24	头发 侧面 轮廓 23 + 24	頭髮 側面 輪廓 23 + 24														
CoffeeBean_7	(SideHairB6_Gradient)	Hair Side 28 Colour	Hair Side 28	头发 侧面 28	頭髮 側面 28														
CoffeeBean_9	(EarringA4_Outline)	Earring 4 Outline	Earring Outline 4	耳环 轮廓 4	耳環 輪廓 4														
CoffeeBean_8	(PopperConfetti1)	Celebration Emote Confetti 1	Confetti 1	彩纸 1	彩色紙屑 1														
CoffeeBean_8	(Collar1_Outline)	Outfit Collar Inner 1 Outline	Outfit Collar Outline 1	服装 领子 轮廓 1	服裝 領子 輪廓 1														
CoffeeBean_8	(FacialHair_B5_Outline)	Facial Hair B 5 Outline	Facial Hair B Outline 5	胡子 B 轮廓 5	鬍子 B 輪廓 5														
CoffeeBean_9	(EarringA2_Outline)	Earring 2 Outline	Earring Outline 2	耳环 轮廓 2	耳環 輪廓 2														
CoffeeBean_9	(TailF4_Outline)	Tail 18 Outline	Tail Outline 18	尾巴 轮廓 18	尾巴 輪廓 18														
CoffeeBean_9	(LightStickLight)	Lightstick Emote Light	Light Stick	荧光棒	螢光棒														
CoffeeBean_8	(HatA1_Outline)	Hat 1 + 2 Outline	Hat Outline 1 + 2	帽子 轮廓 1 + 2	帽子 輪廓 1 + 2														
CoffeeBean_8	(SideHairB1_Outline)	Hair Side 17 + 18 Outline	Hair Side Outline 17 + 18	头发 侧面 轮廓 17 + 18	頭髮 側面 輪廓 17 + 18														
CoffeeBean_11	(HairClip3_Color)	Hair Clip 3 Colour	Hair Clip 3	发夹 3	髮夾 3														
CoffeeBean_10	(NeckwearA4_Color)	Outfit Neckwear A 4 Colour	Outfit Neckwear A 4	服装 颈部装饰 A 4	服裝 頸部裝飾 A 4														
CoffeeBean_7	(NeckwearA5_Color)	Outfit Neckwear A 5 Colour	Outfit Neckwear A 5	服装 颈部装饰 A 5	服裝 頸部裝飾 A 5														
CoffeeBean_10	(WingC1_Lower_Outline)	Wing 5 Lower Outline	Wing Outline 5 .2	翅膀 轮廓 5 .2	翅膀 輪廓 5 .2														
CoffeeBean_10	(FrameHair_A2_Outline)	Hair Framing 3 + 4 Outline	Hair Framing Outline 3 + 4	头发 脸颊 轮廓 3 + 4	頭髮 臉頰 輪廓 3 + 4														
CoffeeBean_4	(HatB1_Outline)	Hat 3 Outline	Hat Outline 3	帽子 轮廓 3	帽子 輪廓 3														
CoffeeBean_11	(MagicWand)	Magic Emote Wand	Magic	魔法	魔法														
CoffeeBean_11	(HairBang2_Middle_Color)	Hair Bang 3 Mid Colour	Hair Bang >< 3	头发 刘海 >< 3	頭髮 瀏海 >< 3														
CoffeeBean_11	(HairBang2_Middle_Gradient)	Hair Bang 4 Mid Colour	Hair Bang >< 4	头发 刘海 >< 4	頭髮 瀏海 >< 4														
CoffeeBean_5	(Hairband5_Color)	Hairband B 3 Colour	Hairband B 3	发带 B 3	髮帶 B 3														
CoffeeBean_10	(TailE2_Outline)	Tail 13 Outline	Tail Outline 13	尾巴 轮廓 13	尾巴 輪廓 13														
CoffeeBean_5	(Brow5)	Brow 5	Brow 5	眉毛 5	眉毛 5														
CoffeeBean_8	(Tie1_Color)	Outfit Neckwear C 1 Colour	Outfit Neckwear C 1	服装 颈部装饰 C 1	服裝 頸部裝飾 C 1														
CoffeeBean_7	(WingF1_Lower_Color)	Wings 9 Outer Colour	Wing 9 .2	翅膀 9 .2	翅膀 9 .2														
CoffeeBean_10	(FrameHair_A4_Outline)	Hair Framing 7 + 8 Outline	Hair Framing Outline 7 + 8	头发 脸颊 轮廓 7 + 8	頭髮 臉頰 輪廓 7 + 8														
CoffeeBean_7	(PryBar)	Crowbar Emote	Crowbar	撬棍	撬棍														
CoffeeBean_4	(FacialHair_A2_Color)	Facial Hair A 2 Colour	Facial Hair A 2	胡子 A 2	鬍子 A 2														
CoffeeBean_12	(Outer2_Color)	Outfit Outer 2 Colour	Outfit Outer 2	服装 外侧 2	服裝 外側 2														
CoffeeBean	(Tie3_Outline)	Outfit Neckwear C 3 Outline	Outfit Neckwear C Outline 3	服装 颈部装饰 C 轮廓 3	服裝 頸部裝飾 C 輪廓 3														
CoffeeBean_11	(TailB4_Outline)	Tail 6 Outline	Tail Outline 6	尾巴 轮廓 6	尾巴 輪廓 6														
CoffeeBean_10	(HairShine3_Outline)	Hair Shine 6 Outline	Hair Shine Outline 6	头发 高光 轮廓 6	頭髮 高光 輪廓 6														
CoffeeBean_10	(AlertHeart_Color)	Alert Heart Emote Colour	Sticker Alert 1	表情贴纸 通知/提示 1	表情貼紙 通知/提示 1														
CoffeeBean_7	(WingD2_Lower_Outline)	Wing 7 Lower Outline	Wing Outline 7 .2	翅膀 轮廓 7 .2	翅膀 輪廓 7 .2														
CoffeeBean_6	(SideHairA1_Color)	Hair Side 1 Colour	Hair Side 1	头发 侧面 1	頭髮 側面 1														
CoffeeBean_8	(HatA1_Color)	Hat 1 + 2 Colour	Hat 1 + 2	帽子 1 + 2	帽子 1 + 2														
CoffeeBean_5	(SideHairB3_Color)	Hair Side 21 Colour	Hair Side 21	头发 侧面 21	頭髮 側面 21														
CoffeeBean_10	(FrameHair_A11_Gradient)	Hair Framing 22 Colour	Hair Framing 22	头发 脸颊 22	頭髮 臉頰 22														
CoffeeBean_4	(FrameHair_A11_Color)	Hair Framing 21 Colour	Hair Framing 21	头发 脸颊 21	頭髮 臉頰 21														
CoffeeBean_7	(SideHairB4_Gradient)	Hair Side 24 Colour	Hair Side 24	头发 侧面 24	頭髮 側面 24														
CoffeeBean_4	(SideHairA4_Outline)	Hair Side 7 + 8 Outline	Hair Side Outline 7 + 8	头发 侧面 轮廓 7 + 8	頭髮 側面 輪廓 7 + 8														
CoffeeBean_6	(SideHairA1_Gradient)	Hair Side 2 Colour	Hair Side 2	头发 侧面 2	頭髮 側面 2														
CoffeeBean_11	(CapeFront2_Color)	Cape Front 2 Colour	Cape Front 2	披风 前 2	披風 前 2														
CoffeeBean_11	(CapeFront5_Color)	Cape Front 5 Colour	Cape Front 5	披风 前 5	披風 前 5														
CoffeeBean_10	(CapeFront2_Outline)	Cape Front 2 Outline	Cape Front | Cape Outline 2	披风 前 | 披风 轮廓 2	披風 前 | 鬥篷 輪廓 2														
CoffeeBean_7	(SideHairB3_Outline)	Hair Side 21 + 22 Outline	Hair Side Outline 21 + 22	头发 侧面 轮廓 21 + 22	頭髮 側面 輪廓 21 + 22														
CoffeeBean_7	(SideHairB4_Color)	Hair Side 23 Colour	Hair Side 23	头发 侧面 23	頭髮 側面 23														
CoffeeBean_6	(SideHairB5_Gradient)	Hair Side 26 Colour	Hair Side 26	头发 侧面 26	頭髮 側面 26														
CoffeeBean_11	(TailB5_Color)	Tail 7 Colour	Tail 7	尾巴 7	尾巴 7														
CoffeeBean_11	(WingC1_Upper_Outline)	Wing 5 Top Outline	Wing Outline 5 .1	翅膀 轮廓 5 .1	翅膀 輪廓 5 .1														
CoffeeBean_11	(Mecha3_Outline)	Mecha 3 Outline	Mecha Outline 3	机械 轮廓 3	機械 輪廓 3														
CoffeeBean_12	(HairHighlight1_Color)	Hair Highlight 1 << + 1 >> Colour	Hair Highlight 1 << + 1 >> 	挑染 1 << + 1 >> 	挑染 1 << + 1 >> 														
CoffeeBean_12	(LoveLetter)	Love Letter Emote	Love Letter	情书	情書														
CoffeeBean_8	(Hairband6_Outline)	Hairband B 4 Outline	Hairband B Outline 4	发带 B 轮廓 4	髮帶 B 輪廓 4														
CoffeeBean_12	(MusicalNote1)	Sing Emote Note 1	Musical Note 1	音乐 音符 1	音樂 音符 1														
CoffeeBean_10	(PiercingA2_Outline)	Piercing A + B 2 Outline	Piercing Outline 2	耳钉 轮廓 2	耳釘 輪廓 2														
CoffeeBean_10	(StrawLiquid_Outline)	Drink Beverage Cup Emote Straw Liquid Outline	Beverage Cup 2	饮料杯 2	飲料杯 2														
CoffeeBean_12	(Eyepatch2_Color)	Eyepatch 3 + 4 Colour	Eyepatch 3 + 4	眼罩 3 + 4	眼罩 3 + 4														
CoffeeBean_11	(AnimalEar2_Front_Outline)	Animal Ear 2 Front Outline	Animal Ear Outline 2	兽耳轮廓 2	獸耳 輪廓 2														
CoffeeBean_6	(AnimalEar1_Fur_Color)	Animal Ear 1 Fur Colour	Animal Ear Fur 1	兽耳毛 1	獸耳 毛 1														
CoffeeBean_10	(EarringB3_Color)	Earring 8 Colour	Earring 8	耳环 8	耳環 8														
CoffeeBean_10	(Pigtail_A7_Gradient)	Hair Pigtail 14 Colour	Hair Pigtail 14	头发 马尾 14	頭髮 馬尾 14														
CoffeeBean_10	(AnimalEar5_Color)	Animal Ear 5 Colour	Animal Ear 5	兽耳 5	獸耳 5														
CoffeeBean_3	(EarringB4_Color)	Earring 4 Colour	Earring 4	耳环 4	耳環 4														
CoffeeBean_7	(HairClip2_Color)	Hair Clip 2 Colour	Hair Clip 2	发夹 2	髮夾 2														
CoffeeBean_12	(Glasses_Lens2)	Glasses Lens 2																	
CoffeeBean_9	(HairBang6_Side_Gradient)	Hair Bang 12 Colour	Hair Bang 12	头发 刘海 12	頭髮 瀏海 12														
CoffeeBean_11	(HairBang3_Middle_Outline)	Hair Bang 5 + 6 Mid Outline	Hair Bang >< Outline 5 + 6	头发 刘海 >< 轮廓 5 + 6	頭髮 瀏海 >< 輪廓 5 + 6														
CoffeeBean_6	(AnimalEar9_Outline)	Animal Ears 9 Outline	Animal Ear Outline 9	兽耳轮廓 9	獸耳 輪廓 9														
CoffeeBean_10	(HatB3_Color)	Hat 5 Colour	Hat 5	帽子 5	帽子 5														
CoffeeBean_9	(PiercingA1_Outline)	Piercing A + B 1 Outline	Piercing Outline 1	耳钉 轮廓 1	耳釘 輪廓 1														
CoffeeBean_5	(Brow8)	Brow 8	Brow 8	眉毛 8	眉毛 8														
CoffeeBean_12	(HairClip1_Outline)	Hair Clip 1 Outline	Hair Clip Outline 1	发夹 轮廓 1	髮夾 輪廓 1														
CoffeeBean_10	(Eyepatch1_Color)	Eyepatch 1 + 2 Colour	Eyepatch 1 + 2	眼罩 1 + 2	眼罩 1 + 2														
CoffeeBean_10	(NeckwearA1_Color)	Outfit Neckwear A 1 Colour	Outfit Neckwear A 1	服装 颈部装饰 A 1	服裝 頸部裝飾 A 1														
CoffeeBean_6	(Eye1_Eyelash)	Eye 1 Eyelash	Eyelashes 1 + 2	眼睛 睫毛 1 + 2	眼睛 睫毛 1 + 2														
CoffeeBean_3	(ShakeLine3)	Scared Emote Shake Line 3	Scared 3	害怕 3	害怕 3														
CoffeeBean_2	(WingE1_Upper_Outline)	Wing 8 Top Outline	Wing Outline 8 .1	翅膀 轮廓 8 .1	翅膀 輪廓 8 .1														
CoffeeBean_10	(PopperConfetti3)	Celebration Emote Confetti 3	Confetti 3	彩纸 3	彩色紙屑 3														
CoffeeBean_12	(Star)	Sparkling Emote + Drooling Emote Star	Sticker Star	表情贴纸 星星	表情貼紙 星星														
CoffeeBean_11	(HairBang1_Middle_Outline)	Hair Bang Mid 1 + 2 Outline	Hair Bang >< Outline 1 + 2	头发 刘海 >< 轮廓 1 + 2	頭髮 瀏海 >< 輪廓 1 + 2														
CoffeeBean_7	(SideHairA4_Gradient)	Hair Side 8 Colour	Hair Side 8	头发 侧面 8	頭髮 側面 8														
CoffeeBean_10	(PiercingA3_Outline)	Piercing A + B 3 Outline	Piercing Outline 3	耳钉 轮廓 3	耳釘 輪廓 3														
CoffeeBean_9	(FaceFeatureB4)	Face Feature B 4	Face Feature B 4	脸部特征 B 4	臉部特徵 B 4														
CoffeeBean_2	(EarringA3_Outline)	Earring 3 Outline	Earring Outline 3	耳环 轮廓 3	耳環 輪廓 3														
CoffeeBean_10	(TailF4_Color)	Tail 18 Colour	Tail 18	尾巴 18	尾巴 18														
CoffeeBean_10	(AnimalEar2_Fur_Color)	Animal Ear 2 Fur Colour	Animal Ear Fur 2	兽耳毛 2	獸耳 毛 2														
CoffeeBean_9	(AnimalEar3_Outline)	Animal Ear 3 Outline	Animal Ear Outline 3	兽耳轮廓 3	獸耳 輪廓 3														
CoffeeBean_9	(Straw)	Drink Beverage Cup Emote Straw	Beverage Cup 4	饮料杯 4	飲料杯 4														
CoffeeBean_6	(AnimalEar8_Outline)	Animal Ear 8 Outline	Animal Ear Outline 8	兽耳轮廓 8	獸耳 輪廓 8														
CoffeeBean_3	(AnimalEar6_Color)	Animal Ear 6 Colour	Animal Ear 6	兽耳 6	獸耳 6														
CoffeeBean_12	(TailF3_Color)	Tail 17 Colour	Tail 17	尾巴 17	尾巴 17														
CoffeeBean_10	(EarringB5_Outline)	Earring 10 Outline	Earring Outline 10	耳环 轮廓 10	耳環 輪廓 10														
CoffeeBean_11	(HairClip12_Color)	Hair Clip 12 Colour	Hair Clip 12	发夹 12	髮夾 12														
CoffeeBean_6	(Collar6_Color)	Collar 6 + 7 Colour	Outfit Collar Inner 6 + 7	服装 领子 里侧 6 + 7	服裝 領子 內側 6 + 7														
CoffeeBean_11	(AnimalEar6_Outline)	Animal Ear 6 Outline	Animal Ear Outline 6	兽耳轮廓 6	獸耳 輪廓 6														
CoffeeBean_11	(AnimalEar3_Color)	Animal Ears 3 Colour	Animal Ear 3	兽耳 3	獸耳 3														
CoffeeBean_6	(Brow3)	Brow 3	Brow 3	眉毛 3	眉毛 3														
CoffeeBean_12	(Glasses_Lens3)	Glasses Lens 3																	
CoffeeBean_10	(EarringB5_Color)	Earring 10 Colour	Earring 10	耳环 10	耳環 10														
CoffeeBean_10	(LaptopLight2)	Work Emote Laptop Light 2	Laptop Light 2	电脑 屏幕光 2	電腦 螢幕光 2														
CoffeeBean_3	(PhoneScreenPattern1)	Hypnosis Emote Heart	Phone Screen 1	手机 屏幕 1	手機 螢幕 1														
CoffeeBean_12	(TailF2_Color)	Tail 16 Colour	Tail 16	尾巴 16	尾巴 16														
CoffeeBean_10	(LaptopLight1)	Work Emote Laptop Light 1	Laptop Light 1	电脑 屏幕光 1	電腦 螢幕光 1														
CoffeeBean_10	(AnimalEar7_Color)	Animal Ear 7 Colour	Animal Ear 7	兽耳 7	獸耳 7														
CoffeeBean_10	(AnimalEar9_Color)	Animal Ear 9 Colour	Animal Ear 9	兽耳 9	獸耳 9														
CoffeeBean_9	(HairBang7_Middle_Outline)	Hair Bang Mid 13 + 14 Outline	Hair Bang >< Outline 13 + 14	头发 刘海 >< 轮廓 13 + 14	頭髮 瀏海 >< 輪廓 13 + 14														
CoffeeBean_8	(Hairband6_Color)	Hairband B 4 Colour	Hairband B 4	发带 B 4	髮帶 B 4														
CoffeeBean_12	(AnimalEar2_Back_Outline)	Animal Ear 2 Outline Outer Edge	Animal Ear Outline 2 .1	兽耳轮廓 2 .1	獸耳 輪廓 2 .1														
CoffeeBean_10	(HairClip1_Color)	Hair Clip 1 Colour	Hair Clip 1	发夹 1	髮夾 1														
CoffeeBean_4	(EarringB2_Outline)	Earring 7 Outline	Earring Outline 7	耳环 轮廓 7	耳環 輪廓 7														
CoffeeBean_8	(Middle_Color)	Hand Middle Colour	Hand 1 .7	手 1 .7	手 1 .7														
CoffeeBean_11	(AnimalEar5_Outline)	Animal Ear 5 Outline	Animal Ear Outline 5	兽耳轮廓 5	獸耳 輪廓 5														
CoffeeBean_7	(Hairband2_Color)	Hairband A 2 Colour	Hairband A 2	发带 A 2	髮帶 A 2														
CoffeeBean_8	(AnimalEar1_Front_Color)	Animal Ear 1 Front Colour	Animal Ear 1	兽耳 1	獸耳 1														
CoffeeBean_3	(Chopstick)	Chopsticks Emotes	Chopstick	筷子	筷子														
CoffeeBean_11	(AnimalEar2_Front_Color)	Animal Ear 2 Front Colour	Animal Ear 2	兽耳 2	獸耳 2														
CoffeeBean_10	(EarringB3_Outline)	Earring 8 Outline	Earring Outline 8	耳环 轮廓 8	耳環 輪廓 8														
CoffeeBean_12	(TailF1_Color)	Tail 15 Colour	Tail 15	尾巴 15	尾巴 15														
CoffeeBean_11	(AnimalEar4_Color)	Animal Ears 4 Colour	Animal Ear 4	兽耳 4	獸耳 4														
CoffeeBean_8	(HairBang4_Side_Color)	Hair Bang 7 Colour	Hair Bang 7	头发 刘海 7	頭髮 瀏海 7														
CoffeeBean_6	(SideHairB7_Gradient)	Hair Side 30 Colour	Hair Side 30	头发 侧面 30	頭髮 側面 30														
CoffeeBean_4	(SideHairB1_Color)	Hair Side 17 Colour	Hair Side 17	头发 侧面 17	頭髮 側面 17														
CoffeeBean_8	(FacialHair_A7_Color)	Facial Hair A 7 Colour	Facial Hair A 7	胡子 A 7	鬍子 A 7														
CoffeeBean_12	(HairClip4_Outline)	Hair Clip 4 Outline	Hair Clip Outline 4	发夹 轮廓 4	髮夾 輪廓 4														
CoffeeBean_10	(EarringB1_Outline)	Earring 6 Outline	Earring Outline 6	耳环 轮廓 6	耳環 輪廓 6														
CoffeeBean_6	(Index_Color)	Hand Index Colour	Hand 1 .8	手 1 .8	手 1 .8														
CoffeeBean_8	(PiercingA5_Outline)	Piercing 5 Outline	Piercing Outline 5	耳钉 轮廓 5	耳釘 輪廓 5														
CoffeeBean_11	(TailF1_Outline)	Tail 15 Outline	Tail Outline 15	尾巴 轮廓 15	尾巴 輪廓 15														
CoffeeBean_12	(AnimalEar1_Fur_Outline)	Animal Ear 1 Fur Outline	Animal Ear Fur Outline 1	兽耳毛轮廓 1	獸耳 毛輪廓 1														
CoffeeBean_4	(TailE3_Color)	Tail 14 Colour	Tail 14	尾巴 14	尾巴 14														
CoffeeBean_10	(AnimalEar1_Back_Color)	Animal Ear 1 Back Colour	Animal Ear 1 .1	兽耳 1 .1	獸耳 1 .1														
CoffeeBean_6	(AnimalEar2_Fur_Outline)	Animal Ear 2 Fluff Outline	Animal Ear Fur Outline 2	兽耳毛轮廓 2	獸耳 毛輪廓 2														
CoffeeBean_4	(CupSteam)	Work Tired Emote Cup Smoke	Cup Steam	咖啡杯 蒸汽	咖啡杯 蒸汽														
CoffeeBean_12	(AnimalEar2_Back_Color)	Animal Ear 2 Back Colour	Animal Ear 2 .1	兽耳 2 .1	獸耳 2 .1														
CoffeeBean_9	(AnimalEar8_Color)	Animal Ear 8 Colour	Animal Ear 8	兽耳 8	獸耳 8														
CoffeeBean_5	(EarringB4_Outline)	Earring 9 Outline	Earring Outline 9	耳环 轮廓 9	耳環 輪廓 9														
CoffeeBean_5	(Body_Color)	Body Colour																	
CoffeeBean_9	(FacialHair_A8_Outline)	Facial Hair A 8 Outline	Facial Hair A Outline 8	胡子 A 轮廓 8	鬍子 A 輪廓 8														
CoffeeBean_6	(SideHairB7_Color)	Hair Side 29 Colour	Hair Side 29	头发 侧面 29	頭髮 側面 29														
CoffeeBean_6	(SideHairA4_Color)	Hair Side 7 Colour	Hair Side 7	头发 侧面 7	頭髮 側面 7														
CoffeeBean_8	(SideHairB1_Gradient)	Hair Side 18 Colour	Hair Side 18	头发 侧面 18	頭髮 側面 18														
CoffeeBean_6	(BackHair3_Color)	Hair Rear 5 Colour	Hair Rear 5	头发 后侧 5	頭髮 後側 5														
CoffeeBean_5	(Pigtail_A5_Color)	Hair Pigtail 9 Colour	Hair Pigtail 9	头发 马尾 9	頭髮 馬尾 9														
CoffeeBean_5	(Pigtail_A5_Gradient)	Hair Pigtail 10 Colour	Hair Pigtail 10	头发 马尾 10	頭髮 馬尾 10														
CoffeeBean_10	(Pigtail_A2_Outline)	Hair Pigtail 3 + 4 Outline	Hair Pigtail Outline 3 + 4	头发 马尾 轮廓 3 + 4	頭髮 馬尾 輪廓 3 + 4														
CoffeeBean_10	(HairShine6_Outline)	Hair Shine 12 Outline	Hair Shine Outline 12	头发 高光 轮廓 12	頭髮 高光 輪廓 12														
CoffeeBean_11	(Antenna1_Outline)	Antenna 1 Outline	Antenna Outline 1	触角轮廓 1	觸角 輪廓 1														
CoffeeBean_10	(AlertLike_Outline)	Alert Like Emote Outline	Sticker Alert Outline 4	表情贴纸 通知/提示 轮廓 4	表情貼紙 通知/提示 輪廓 4														
CoffeeBean_8	(FacialHair_A5_Outline)	Facial Hair A 5 Outline	Facial Hair A Outline 5	胡子 A 轮廓 5	鬍子 A 輪廓 5														
CoffeeBean_7	(Horn5_Outline)	Horn 5 Outline	Horn Outline 5	角 轮廓 5	角 輪廓 5														
CoffeeBean_3	(FrameHair_A8_Color)	Hair Framing 15 Colour	Hair Framing 15	头发 脸颊 15	頭髮 臉頰 15														
CoffeeBean_4	(FrameHair_A8_Gradient)	Hair Framing 16 Colour	Hair Framing 16	头发 脸颊 16	頭髮 臉頰 16														
CoffeeBean_2	(FrameHair_Top_Color)	Frame Hair Top Colour																	
CoffeeBean_11	(HairBang5_Middle_Color)	Hair Bang 9 Mid Colour	Hair Bang >< 9	头发 刘海 >< 9	頭髮 瀏海 >< 9														
CoffeeBean_9	(HairShine1_Outline)	Hair Shine 2 Outline	Hair Shine Outline 2	头发 高光 轮廓 2	頭髮 高光 輪廓 2														
CoffeeBean_11	(WingG1_Inner_Outline)	Wing 10 Inner Outline	Wing Outline 10 .2	翅膀 轮廓 10 .2	翅膀 輪廓 10 .2														
CoffeeBean_12	(VideoCamera)	Caught in 4K Emote Video Camera	Video Camera	摄像机	攝影機														
CoffeeBean_7	(FrameHair_A7_Gradient)	Hair Framing 14 Colour	Hair Framing 14	头发 脸颊 14	頭髮 臉頰 14														
CoffeeBean_7	(FrameHair_A7_Color)	Hair Framing 13 Colour	Hair Framing 13	头发 脸颊 13	頭髮 臉頰 13														
CoffeeBean_4	(Index_Outline)	Hand Index Outline	Hand 1 .9	手 1 .9	手 1 .9														
CoffeeBean_4	(Mouth)	Mouth	Mouth	嘴	嘴														
CoffeeBean_11	(TailC3_Outline)	Tail 10 Outline	Tail Outline 10	尾巴 轮廓 10	尾巴 輪廓 10														
CoffeeBean_11	(Wing2_Outline)	Ear Wing 2 Outline	Ear Wing Outline 2	翅膀耳朵 轮廓 2	翅膀耳朵 輪廓 2														
CoffeeBean_10	(Wing1_Color)	Ear Wing 1 Colour	Ear Wing Outline 1	翅膀耳朵 轮廓 1	翅膀耳朵 輪廓 1														
CoffeeBean_11	(WingC1_Upper_Color)	Wing 5 Upper Colour	Wing Outline 5 .1	翅膀 轮廓 5 .1	翅膀 輪廓 5 .1														
CoffeeBean_12	(Main7_Color)	Outfit Inner 7 Colour	Outfit Inner 7	服装 里侧 7	服裝 內側 7														
CoffeeBean_12	(HairHighlight3_Color)	Hair Highlight 3 << + 3 >> Colour	Hair Highlight 3 << + 3 >>	挑染 3 << + 3 >>	挑染 3 << + 3 >>														
CoffeeBean_9	(Face_Color)	Face Colour																	
CoffeeBean_5	(HairHighlight4_Outline)	Hair Highlight Mid 1 + 2 Outline	Hair Highlight >< Outline 1 + 2	挑染 >< 轮廓 1 + 2	挑染 >< 輪廓 1 + 2														
CoffeeBean_10	(ErrorPopup)	Stops Working Emote Popup	Stops Working	停止工作	停止工作														
CoffeeBean_5	(TrashBinLid)	Trash Emote Lid	Trash Bin 2	垃圾桶 2	垃圾桶 2														
CoffeeBean_9	(BackHair1_Outline)	Hair Rear 1 + 2 Outline	Hair Rear Outline 1 + 2	头发 后侧 轮廓 1 + 2	頭髮 後側 輪廓 1 + 2														
CoffeeBean_7	(BackHair2_Outline)	Hair Rear 3 + 4 Outline	Hair Rear Outline 3 + 4	头发 后侧 轮廓 3 + 4	頭髮 後側 輪廓 3 + 4														
CoffeeBean_11	(Horn6_Color)	Horn 6 Colour	Horn 6	角 6	角 6														
CoffeeBean_11	(HairBang7_Middle_Color)	Hair Bang 13 Mid Colour	Hair Bang >< 13	头发 刘海 >< 13	頭髮 瀏海 >< 13														
CoffeeBean_9	(little_Outline)	Hand Little Finger Outline	Hand 1 .10	手 1 .10	手 1 .10														
CoffeeBean_9	(HornF1_Outline)	Horn Front 1 Outline																	
CoffeeBean_2	(TailC2_Outline)	Tail 9 Outline	Tail Outline 9	尾巴 轮廓 9	尾巴 輪廓 9														
