SpriteSheet	SpriteName	English Naomi ver	EN Community Translation Ver	Zh-Hans	Zh-Hant	de	es	fr	hu	ja	ko	ru	pt-br	uk	it	th	tr	sv	sk
CoffeeBean_4	(Eye1_Highlight)	Eye 1 Highlight	Eye Highlight 1	眼睛 高光 1	眼睛 高光 1														
CoffeeBean_5	(EarringA1_Color)	Earring 1 Colour	Earring 1	耳环 1	耳環 1														
CoffeeBean	(Brow1)	Brow 1	Brow 1	眉毛 1	眉毛 1														
CoffeeBean_2	(FaceFeatureB2)	Face Feature B 2	Face Feature B 2	脸部特征 B 2	臉部特徵 B 2														
CoffeeBean_8	(CortisolMeter)	Low Cortisol Meter	Dance (Low Cortisol) 2	跳舞(低皮质醇) 2	跳舞(低皮質醇) 2														
CoffeeBean	(HairBang1_Side_Outline)	Hair Bang 1 + 2 Outline	Hair Bang Outline 1 + 2	头发 刘海 轮廓 1 + 2	頭髮 瀏海 輪廓 1 + 2														
CoffeeBean_2	(Hairline)	Base Hair 1	Base Hair 1	基础头发 1	基礎頭髮 1														
CoffeeBean_2	(EarringB1_Color)	Earring 6 Colour	Earring 6	耳环 6	耳環 6														
CoffeeBean_2	(Palmar_Line2)	Greeting 1 Emote Hand Palm Finger Line 2	Hand 1 .2	手 1 .2	手 1 .2														
CoffeeBean_2	(StrawLiquid_Color)	Drink Beverage Cup Emote Boba Ball Colour	Beverage Liquid 2	饮料杯 液体 2	飲料杯 液體 2														
CoffeeBean_2	(Mecha5_Color)	Mecha 5 Colour	Mecha 5	机械 5	機械 5														
CoffeeBean_2	(HairClip13_Outline)	Hair Clip 13 Outline	Hair Clip Outline 13	发夹 轮廓 13	髮夾 輪廓 13														
CoffeeBean_2	(EasterEgg3)	Easter Emote Egg 3	Easter 3	复活节 3	復活節 3														
CoffeeBean_2	(Collar3_Outline)	Outfit Collar Inner 3 Outline	Outfit Collar Outline 3	服装 领子 轮廓 3	服裝 領子 輪廓 3														
CoffeeBean_2	(HairHighlight4_Color)	Hair Highlight Mid 1 + 2 Colour	Hair Highlight >< 1 + 2	挑染 >< 1 + 2	挑染 >< 1 + 2														
CoffeeBean_12	(Tongue2)	Lick Emote Tongue Tip	Mouth/Tongue | Lick	嘴/舌头 | 舔舔	嘴/舌頭 | 舔舔														
CoffeeBean	(FaceFeatureA3)	Face Feature A 3	Face Feature A 3	脸部特征 A 3	臉部特徵 A 3														
CoffeeBean_2	(AnimalEar4_Outline)	Animal Ears 4 Outline	Animal Ear Outline 4	兽耳轮廓 4	獸耳 輪廓 4														
CoffeeBean_2	(SideHairB8_Gradient)	Hair Side 32 Colour	Hair Side 32	头发 侧面 32	頭髮 側面 32														
CoffeeBean_2	(PonytailA4_Outline)	Ponytail 7 + 8 Outline	Hair Ponytail Outline 7 + 8	头发 单马尾 轮廓 7 + 8	頭髮馬尾辮輪廓 7 + 8														
CoffeeBean_2	(HatD1_Outline)	Hat 8 Outline	Hat Outline 8	帽子 轮廓 8	帽子 輪廓 8														
CoffeeBean_7	(GasBottle)	Copium Emote	Gas Bottle	压缩气瓶	壓縮氣瓶														
CoffeeBean_2	(SideHairA2_Outline)	Hair Side 3 + 4 Outline	Hair Side Outline 3 + 4	头发 侧面 轮廓 3 + 4	頭髮 側面 輪廓 3 + 4														
CoffeeBean_2	(SideHairB5_Outline)	Hair Side 25 + 26 Outline	Hair Side Outline 25 + 26	头发 侧面 轮廓 25 + 26	頭髮 側面 輪廓 25 + 26														
CoffeeBean_5	(FacialHair_A4_Color)	Facial Hair A 4 Colour	Facial Hair A 4	胡子 A 4	鬍子 A 4														
CoffeeBean_8	(EarringA2_Color)	Earring 2 Colour	Earring 2	耳环 2	耳環 2														
CoffeeBean_5	(Eye3_Light)	Eye Iris 3	Eye Iris Light 3	眼睛 虹膜浅色 3	眼睛 虹膜淺色 3														
CoffeeBean_8	(AnimalEar1_Back_Outline)	Animal Ear 1 Outline Outer Edge	Animal Ear Outline 1 .1	兽耳轮廓 1 .1	獸耳 輪廓 1 .1														
CoffeeBean_2	(CapeFront5_Outline)	Cape Front 5 Outline	Cape Front | Cape Outline 5	披风 前 | 披风 轮廓 5	披風 前 | 鬥篷 輪廓 5														
CoffeeBean_2	(SideHairB8_Color)	Hair Side 31 Colour	Hair Side 31	头发 侧面 31	頭髮 側面 31														
CoffeeBean_2	(HairShine6_Color)	Hair Shine 11 + 12 Colour	Hair Shine 11 + 12	头发 高光 11 + 12	頭髮 高光 11 + 12														
CoffeeBean_2	(Hairband5_Outline)	Hairband B 3 Outline	Hairband B Outline 3	发带 B 轮廓 3	髮帶 B 輪廓 3														
CoffeeBean_2	(CapeBack1_Outline)	Cape Back 1 Outline	Cape Back | Cape Outline 1	披风 后 | 披风 轮廓 1	披風 後 | 鬥篷 輪廓 1														
CoffeeBean_7	(Halo3_Color)	Halo 3 Colour	Halo 3	光环 3	光環 3														
CoffeeBean_6	(Eye3_Eyelash)	Eye 3 Lash	Eyelashes 3	眼睛 睫毛 3	眼睛 睫毛 3														
CoffeeBean_2	(Leg)	Leg 1	Leg 1	腿 1	腿 1														
CoffeeBean_2	(Thumb_Color)	Hand Thumb Colour	Hand 1 .3	手 1 .3	手 1 .3														
CoffeeBean_9	(HairShine2_Color)	Hair Shine 3 + 4 Colour	Hair Shine 3 + 4	头发 高光 3 + 4	頭髮 高光 3 + 4														
CoffeeBean_9	(Hairband1_Outline)	Hairband A 1 Outline	Hairband A Outline 1	发带 A 轮廓 1	髮帶 A 輪廓 1														
CoffeeBean_4	(Brow7)	Brows 7	Brow 7	眉毛 7	眉毛 7														
CoffeeBean_4	(Palmar_Line1)	Greeting 1 Emote Hand Palm Finger Line 1	Hand 1 .4	手 1 .4	手 1 .4														
CoffeeBean_2	(PiercingA3_Color)	Piercing A + B 3 Colour	Piercing 3	耳钉 3	耳釘 3														
CoffeeBean_3	(Pigtail_A7_Color)	Hair Pigtail 13 Colour	Hair Pigtail 13	头发 马尾 13	頭髮 馬尾 13														
CoffeeBean_2	(SideHairA3_Gradient)	Hair Side 6 Colour	Hair Side 6	头发 侧面 6	頭髮 側面 6														
CoffeeBean_2	(SideHairA8_Outline)	Hair Side 15 + 16 Outline	Hair Side Outline 15 + 16	头发 侧面 轮廓 15 + 16	頭髮 側面 輪廓 15 + 16														
CoffeeBean_3	(PonytailA3_Outline)	Ponytail 5 + 6 Outline	Hair Ponytail Outline 5 + 6	头发 单马尾 轮廓 5 + 6	頭髮馬尾辮輪廓 5 + 6														
CoffeeBean_5	(TailF2_Outline)	Tail 16 Outline	Tail Outline 16	尾巴 轮廓 16	尾巴 輪廓 16														
CoffeeBean_8	(Ear_Outline)	Ear Outline	Ear Outline	耳朵 轮廓	耳朵 輪廓														
CoffeeBean_3	(HairClip11_Color)	Hair Clip 11 Colour	Hair Clip 11	发夹 11	髮夾 11														
CoffeeBean_3	(TailC1_Outline)	Tail 8 Outline	Tail Outline 8	尾巴 轮廓 8	尾巴 輪廓 8														
CoffeeBean_10	(Cheek3)	Cheek 3 Colour	Cheek 3	脸颊 3	臉頰 3														
CoffeeBean_9	(Eye_Popcat_Light)	Dum 3 + Popcat Emote Iris Colour																	
CoffeeBean_10	(CandleFire)	Candle Fire	Candle Fire	蜡烛 火焰	蠟燭 火焰														
CoffeeBean_4	(PiercingA4_Outline)	Piercing A + B 4 Outline	Piercing Outline 4	耳钉 轮廓 4	耳釘 輪廓 4														
CoffeeBean_5	(NeckwearA2_Color)	Outfit Neckwear A 2 Colour	Outfit Neckwear A 2	服装 颈部装饰 A 2	服裝 頸部裝飾 A 2														
CoffeeBean_5	(little_Color)	Hand Little Finger Colour	Hand 1 .5	手 1 .5	手 1 .5														
CoffeeBean_5	(PiercingA1_Color)	Piercing A + B 1 Colour	Piercing 1	耳钉 1	耳釘 1														
CoffeeBean_4	(PhoneLight)	Paid Break Easy Emote Phone Light	Phone Light	手机 屏幕光	手機 螢幕光														
CoffeeBean_5	(ShakeLine1)	Scared Emote Shake Line 1	Scared 1	害怕 1	害怕 1														
CoffeeBean_8	(Eye2_Upperlid)	Eyelash 2	Eyelashes 2 .1	眼睛 睫毛 2 .1	眼睛 睫毛 2 .1														
CoffeeBean_10	(NeckwearA3_Color)	Outfit Neckwear A 3 Colour	Outfit Neckwear A 3	服装 颈部装饰 A 3	服裝 頸部裝飾 A 3														
CoffeeBean_10	(Brow9)	Brow 9	Brow 9	眉毛 9	眉毛 9														
CoffeeBean_10	(EarringA1_Outline)	Earring 1 Outline	Earring Outline 1	耳环 轮廓 1	耳環 輪廓 1														
CoffeeBean_10	(TailA2_Outline)	Tail 2 Outline	Tail Outline 2	尾巴 轮廓 2	尾巴 輪廓 2														
CoffeeBean_2	(Drooling)	Drool	Drooling	馋	嘴饞														
CoffeeBean_2	(PiercingA4_Color)	Piercing A + B 4 Colour	Piercing 4	耳钉 4	耳釘 4														
CoffeeBean_4	(PonytailA3_Color)	Ponytail 5 Colour	Hair Ponytail 5	头发 单马尾 5	頭髮馬尾辮 5														
CoffeeBean_5	(PonytailA2_Gradient)	Ponytail 4 Colour	Hair Ponytail 4	头发 单马尾 4	頭髮馬尾辮 4														
CoffeeBean_11	(AnimalEar7_Outline)	Animal Ear 7 Outline	Animal Ear Outline 7	兽耳轮廓 7	獸耳 輪廓 7														
