SpriteName	Zh-Hans
NeckwearB6_Color	服装 颈部装饰 B 6
Mouth_Popcat1	Popcat | 嘴 1
Rose	玫瑰
HairbandBack2_Outline	发带 D 轮廓 2
Mecha2_Outline	机械 轮廓 2
SideHairA8_Gradient	头发 侧面 16
NeckwearB7_Color	服装 颈部装饰 B 7
Donut3	甜甜圈 3
NeckwearB5_Outline	服装 颈部装饰 B 轮廓 5
StickyNoteText	表情贴纸 便签 文字
SideHairA6_Gradient	头发 侧面 12
PonytailA4_Gradient	头发 单马尾 8
Ahoge_A4_Color	头发呆毛4
Gill2_Color	腮 1 .2
FacialHair_A7_Outline	胡子 A 轮廓 7
HatC1_Color	帽子 6 + 7
SideHairA5_Color	头发 侧面 9
LightStickHandle	荧光棒 把手
Eye1_Spiral	眼睛 圈圈 1 + 2
EasterEgg2	复活节 2
EasterEgg1	复活节 1
HairClip5_Outline	发夹 轮廓 5
SideHairA8_Color	头发 侧面 15
HairHighlight2_Outline	挑染 轮廓 2 << + 2 >>
Ahoge_A2_Color	头发呆毛2
SideHairB7_Outline	头发 侧面 轮廓 29 + 30
AlertBits_Outline	表情贴纸 通知/提示 轮廓 6
SunGlasses_Frame	太阳镜
PonytailA4_Color	头发 单马尾 7
HairHighlight2_Color	挑染 2 << + 2 >>
SideHairA5_Gradient	头发 侧面 10
SideHairA6_Color	头发 侧面 11
HairbandBack2_Color	发带 D 2
NeckwearB1_Outline	服装 颈部装饰 B 轮廓 2
HairClip3_Outline	发夹 轮廓 3
Bill2	钞票 2
Volume	表情贴纸 音量
FrameHair_A1_Color	头发 脸颊 1 
FrameHair_A2_Gradient	头发 脸颊 2 
Pigtail_C2_Color	头发 马尾 23
Pigtail_C2_Gradient	头发 马尾 24
WingF1_Lower_Outline	翅膀 轮廓 9 .2
Glasses_Frame3	眼镜 3
WingA2_Outline	翅膀 轮廓 2
PalmarGlove1_Outline	手 2 .1
Eye1_Sparkling	眼睛 星星 1
SideHairB2_Color	头发 侧面 19
SideHairB2_Gradient	头发 侧面 20
SideHairA1_Outline	头发 侧面 轮廓 1 + 2
EarringA3_Color	耳环 3
EarringA4_Color	耳环 4
TailF_Outline	尾巴 轮廓 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	光环 轮廓 2
HairBang4_Side_Outline	头发 刘海 轮廓 7 + 8
TailD1_Outline	尾巴 轮廓 11
Pigtail_A8_Outline	头发 马尾 轮廓 15 + 16
HairBang4_Middle_Outline	头发 刘海 >< 轮廓 4
SideHairB2_Outline	头发 侧面 轮廓 19 + 20
ShakeLine2	害怕 2
EarringB2_Color	耳环 7
TailA2_Color	尾巴 2
TailF_Color	尾巴 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	头发 侧面 27
Controller	手柄
HairBang3_Middle_Gradient	头发 刘海 >< 6
HairBang3_Middle_Color	头发 刘海 >< 5
Horn4_Color	角 4
HatD1_Color	帽子 8
PonytailA1_Gradient	头发 单马尾 2
SideHairB4_Outline	头发 侧面 轮廓 23 + 24
SideHairB6_Gradient	头发 侧面 28
EarringA4_Outline	耳环 轮廓 4
PopperConfetti1	彩纸 1
Collar1_Outline	服装 领子 轮廓 1
FacialHair_B5_Outline	胡子 B 轮廓 5
EarringA2_Outline	耳环 轮廓 2
TailF4_Outline	尾巴 轮廓 18
